episode,timestep,reward
1,1000,1.496
3,2000,3.599
5,3000,6.2065
7,4000,8.808
9,5000,11.067
11,6000,13.1085
13,7000,15.6955
15,8000,18.5955
17,9000,21.2945
19,10000,24.602
21,11000,27.3295
23,12000,29.826
25,13000,32.485
27,14000,35.0835
29,15000,37.284
31,16000,39.3915
33,17000,41.6455
35,18000,44.3605
37,19000,46.8955
39,20000,49.3535
41,21000,51.878
43,22000,54.3275
45,23000,57.025
47,24000,59.654
49,25000,62.2295
51,26000,64.8755
53,27000,67.5195
55,28000,70.218
57,29000,72.7945
59,30000,75.344
61,31000,78.0535
63,32000,80.4535
65,33000,82.874
67,34000,85.601
69,35000,88.2105
71,36000,90.793
73,37000,93.493
75,38000,96.0595
77,39000,98.662
79,40000,101.142
