episode,timestep,reward
3,2000,847.8928
7,4000,988.9684
11,6000,701.5294
15,8000,636.2457
19,10000,664.6275
23,12000,1155.1341
27,14000,906.5737
31,16000,417.7924
35,18000,578.5624
39,20000,573.1231
43,22000,695.3065
47,24000,1034.2424
51,26000,981.5682
55,28000,917.8806
59,30000,860.1853
63,32000,862.2816
67,34000,924.5028
71,36000,773.9295
75,38000,697.3597
79,40000,1110.3257
83,42000,845.3428
87,44000,1030.423
91,46000,733.8697
95,48000,873.9181
99,50000,1051.2719
103,52000,588.4608
107,54000,701.3411
111,56000,812.2137
115,58000,838.2675
119,60000,716.2598
123,62000,924.374
127,64000,817.6393
131,66000,975.8248
135,68000,672.5071
139,70000,904.2175
143,72000,786.41
147,74000,685.6218
151,76000,833.4134
155,78000,838.3948
159,80000,603.6922
163,82000,941.8102
167,84000,627.7073
171,86000,1163.019
175,88000,1050.4572
179,90000,1017.3372
183,92000,907.481
187,94000,689.21
