episode,timestep,reward
3,2000,565.6772
7,4000,579.4024
11,6000,480.0341
15,8000,837.0428
19,10000,706.8958
23,12000,466.7008
27,14000,754.2415
31,16000,633.5267
35,18000,741.6369
39,20000,630.3082
43,22000,697.2272
47,24000,991.422
51,26000,856.2038
55,28000,779.2793
59,30000,779.5982
63,32000,952.1769
67,34000,878.4142
71,36000,1056.8393
75,38000,975.2598
79,40000,770.365
83,42000,862.6014
87,44000,694.7735
91,46000,869.9401
95,48000,847.1772
99,50000,869.071
103,52000,785.6614
107,54000,729.1409
111,56000,665.5716
115,58000,850.3165
119,60000,920.6854
123,62000,1088.0235
127,64000,1018.3208
131,66000,1121.3043
135,68000,881.4168
139,70000,974.7516
143,72000,948.1122
147,74000,1070.7811
151,76000,870.3196
155,78000,855.6328
159,80000,847.9091
