episode,timestep,reward
1,1000,937.6052
3,2000,673.9358
5,3000,1011.6913
7,4000,994.2592
9,5000,861.1433
11,6000,897.4912
13,7000,752.2014
15,8000,824.9148
17,9000,1090.9657
19,10000,1039.922
21,11000,902.2226
23,12000,824.2516
25,13000,989.9102
27,14000,980.172
29,15000,1262.6947
31,16000,642.627
33,17000,1148.3991
35,18000,901.5133
37,19000,1045.9084
39,20000,708.3122
41,21000,1264.4879
44,22000,629.8906
46,23000,1091.0928
48,24000,1526.7513
50,25000,790.1785
52,26000,881.9535
54,27000,670.0088
56,28000,957.3139
58,29000,926.8503
60,30000,864.9081
62,31000,968.4148
64,32000,957.2638
67,33000,623.6971
69,34000,1478.8613
71,35000,798.204
73,36000,893.6047
75,37000,1459.0655
77,38000,1185.4061
79,39000,1192.5705
81,40000,655.7129
83,41000,843.3191
85,42000,1156.4779
87,43000,740.5527
89,44000,787.4132
91,45000,1092.8038
93,46000,838.9801
95,47000,803.1075
97,48000,1023.2703
99,49000,1127.8447
101,50000,851.6648
103,51000,930.8977
105,52000,984.3714
107,53000,965.4387
109,54000,885.756
111,55000,960.0282
113,56000,899.1435
115,57000,1085.9169
117,58000,1026.4674
119,59000,842.38
121,60000,1129.1171
123,61000,560.8535
126,62000,1027.9166
128,63000,747.8364
130,64000,606.7096
132,65000,910.1942
134,66000,834.3452
137,67000,557.7184
139,68000,967.6406
141,69000,824.3616
143,70000,1104.3436
145,71000,726.037
147,72000,944.9391
149,73000,1330.5902
151,74000,973.7964
153,75000,1129.8451
155,76000,812.7963
157,77000,845.6764
159,78000,1051.9904
161,79000,1169.151
163,80000,1151.1274
165,81000,846.0313
167,82000,758.0779
169,83000,786.1605
171,84000,837.5641
173,85000,473.3853
175,86000,1053.0104
177,87000,399.5726
179,88000,208.3601
182,89000,466.6657
184,90000,697.0549
186,91000,911.2915
188,92000,971.6402
190,93000,859.3037
