episode,timestep,reward
35,1000,45.1687
66,2000,48.7417
98,3000,41.4412
132,4000,45.1148
167,5000,46.7634
197,6000,54.9642
228,7000,45.7338
263,8000,47.7352
293,9000,47.5182
327,10000,44.6109
362,11000,43.1799
396,12000,39.4615
431,13000,45.8774
464,14000,52.6937
498,15000,53.0131
525,16000,50.7835
557,17000,47.9322
590,18000,44.8456
622,19000,45.3118
654,20000,47.5341
686,21000,46.371
717,22000,53.0178
754,23000,48.4781
785,24000,50.1408
818,25000,50.6677
848,26000,53.4115
882,27000,45.7236
913,28000,48.22
943,29000,49.4632
972,30000,65.936
1002,31000,55.5348
1032,32000,49.6255
