episode,timestep,reward
37,1000,41.7038
78,2000,41.1335
125,3000,37.3329
178,4000,32.5615
225,5000,37.388
274,6000,33.4541
321,7000,42.9756
374,8000,29.2596
423,9000,33.2589
471,10000,40.6631
519,11000,39.0445
571,12000,32.1499
619,13000,39.7783
667,14000,35.0515
716,15000,36.5322
767,16000,35.4845
815,17000,38.7638
858,18000,46.0023
906,19000,37.0655
957,20000,34.0699
1006,21000,34.3459
1058,22000,37.4428
1110,23000,31.5101
1166,24000,29.5536
1215,25000,38.6178
1265,26000,34.2905
1320,27000,30.5878
1372,28000,35.8679
