episode,timestep,reward
69,2000,65.1677
131,4000,74.4599
183,6000,94.8362
230,8000,108.2381
263,10000,148.6154
295,12000,175.6976
317,14000,194.5467
339,16000,246.7463
346,18000,933.9436
352,20000,954.8959
359,22000,741.174
371,24000,579.6848
380,26000,671.3866
387,28000,968.8876
394,30000,807.6796
404,32000,796.6528
411,34000,1001.4131
422,36000,508.4352
426,38000,1161.5635
432,40000,1094.6682
440,42000,1177.6836
447,44000,983.7508
453,46000,819.3608
459,48000,1466.8778
464,50000,1573.0197
470,52000,1268.9028
475,54000,1353.5713
484,56000,965.4624
489,58000,1484.3682
496,60000,810.4203
504,62000,1036.0421
509,64000,1168.3497
520,66000,735.7248
527,68000,1058.7471
536,70000,659.8184
541,72000,1094.3909
546,74000,1365.1715
556,76000,666.8437
563,78000,1105.2216
570,80000,1054.4153
576,82000,942.3886
583,84000,1104.5662
590,86000,1162.6418
598,88000,859.9477
609,90000,510.6231
616,92000,1172.0002
622,94000,951.3047
628,96000,1182.3657
637,98000,875.3983
648,100000,619.9168
658,102000,881.6819
664,104000,1099.6359
672,106000,814.6729
686,108000,502.577
691,110000,1541.6574
698,112000,1018.2619
703,114000,1235.1127
708,116000,1584.2664
