episode,timestep,reward
111,1000,29.9964
227,2000,26.4444
337,3000,29.429
444,4000,30.3205
533,5000,37.6975
625,6000,35.422
703,7000,43.4587
807,8000,31.1303
887,9000,43.9813
964,10000,43.6744
1032,11000,55.58
1109,12000,49.1744
1167,13000,62.0426
1220,14000,68.6294
1255,15000,100.214
1295,16000,95.7888
1325,17000,131.5235
1357,18000,109.2446
1388,19000,127.1404
1417,20000,133.5331
1437,21000,196.0097
1452,22000,255.9995
1466,23000,241.29
1474,24000,483.3808
1488,25000,308.2108
1516,26000,160.0508
1533,27000,159.6101
1543,28000,323.8265
1549,29000,660.1705
1552,30000,954.0359
1564,31000,406.1694
1568,32000,1161.5188
1589,33000,193.9806
1596,34000,443.5512
1600,35000,1224.0391
1604,36000,1072.4845
1611,37000,606.4754
1613,38000,1404.0455
1618,39000,1020.3433
1629,40000,458.3491
1635,41000,250.7938
1638,42000,1332.1278
1642,43000,1221.3031
1647,44000,932.9046
1649,45000,2089.0436
1654,46000,1052.9775
1656,47000,2158.8708
1664,48000,397.423
1668,49000,1280.6421
1677,50000,580.4712
1682,51000,975.8749
1685,52000,1604.0235
1697,53000,270.8277
1701,54000,1179.5911
1710,55000,551.0935
1720,56000,479.7118
1725,57000,276.9616
1730,58000,868.3613
1738,59000,685.6941
1741,60000,1444.2301
1745,61000,954.6599
1749,62000,1225.1837
1751,63000,2309.9816
1754,64000,1630.9786
1757,65000,1588.7428
1762,66000,901.8188
1767,67000,583.0878
1771,68000,1240.8443
1784,69000,440.0282
1786,70000,1167.0525
1791,71000,783.2678
1797,72000,876.7906
1800,73000,1580.5566
1803,74000,1610.3629
1810,75000,734.1437
1820,76000,342.8301
1822,77000,2318.584
1830,78000,650.0233
1832,79000,2435.1024
1841,80000,605.3814
1845,81000,702.8723
1848,82000,1553.6074
1854,83000,872.5041
1857,84000,1635.9832
1859,85000,2395.2425
1864,86000,1010.6251
1868,87000,1262.2671
1872,88000,1226.9759
1877,89000,878.7333
1879,90000,2332.7793
1881,91000,1178.0397
1885,92000,1232.9374
1891,93000,750.384
1897,94000,792.9091
1901,95000,1292.9024
1903,96000,2259.0027
1906,97000,1442.1114
1910,98000,1255.309
1921,99000,359.9262
1923,100000,2438.5301
1926,101000,1425.109
1934,102000,399.3605
1937,103000,1644.5892
1940,104000,1630.8925
1943,105000,1511.6892
1949,106000,902.7306
1956,107000,763.3991
1958,108000,1310.127
1960,109000,2275.844
1964,110000,1258.1207
1968,111000,1364.7927
1971,112000,921.6652
1973,113000,2458.1568
1977,114000,1029.0891
1981,115000,1296.7434
1984,116000,1625.6412
1989,117000,1067.2501
1996,118000,771.5213
2000,119000,1283.8068
2003,120000,842.483
2008,121000,1028.9352
2018,122000,610.4249
2025,123000,453.7368
2028,124000,1591.9836
2032,125000,1275.4304
2036,126000,1282.1646
2038,127000,2472.8421
2045,128000,768.8836
2049,129000,1271.9831
2052,130000,1486.9009
2054,131000,2352.8131
2059,132000,1037.7819
2061,133000,2482.0135
2065,134000,1252.4379
2068,135000,887.4375
2072,136000,1317.6594
2075,137000,1698.6918
2079,138000,1328.8301
2090,139000,565.2976
2092,140000,1306.3155
2095,141000,1683.2707
2099,142000,1267.8535
2104,143000,1061.3255
2107,144000,1714.295
2109,145000,2460.2318
2111,146000,2336.6799
2113,147000,2484.2357
2115,148000,2470.4068
2117,149000,2478.6347
2122,150000,1072.6093
2127,151000,1091.538
2133,152000,908.1388
2135,153000,2466.3153
2141,154000,534.3442
2149,155000,741.7346
2157,156000,351.2458
2160,157000,1559.3827
2167,158000,783.5472
2228,159000,86.646
2293,160000,60.8325
2354,161000,65.2628
2412,162000,70.5231
2476,163000,60.7134
2538,164000,61.5972
2608,165000,56.376
2674,166000,57.0199
2743,167000,56.8601
2807,168000,61.8823
2872,169000,59.2187
2944,170000,51.3249
3010,171000,56.3139
3073,172000,63.8383
3131,173000,68.2339
3191,174000,66.9499
3253,175000,64.8292
3315,176000,63.6923
3376,177000,66.6269
3441,178000,59.6762
3507,179000,58.0132
3565,180000,69.3684
3630,181000,61.7231
3696,182000,58.7787
3755,183000,66.375
3818,184000,63.2035
3877,185000,68.4573
3946,186000,55.2262
4014,187000,56.1484
4080,188000,58.8405
4144,189000,59.6136
4208,190000,60.8824
4282,191000,48.8054
4343,192000,65.5499
4406,193000,60.5893
4480,194000,52.9579
4549,195000,54.0333
4612,196000,61.7843
4683,197000,55.1985
