episode,timestep,reward
75,1000,41.1613
159,2000,36.6113
233,3000,44.4252
308,4000,41.8904
386,5000,40.7599
470,6000,37.5668
544,7000,47.7809
614,8000,46.9297
693,9000,35.3272
785,10000,32.5372
845,11000,50.6322
919,12000,43.9706
997,13000,38.9705
1060,14000,48.2206
1133,15000,40.7128
1209,16000,39.8641
1277,17000,42.8388
1344,18000,42.6877
1407,19000,48.3076
1465,20000,51.2372
1534,21000,40.7774
1601,22000,45.45
1672,23000,45.0856
1740,24000,46.1256
1816,25000,43.2069
1884,26000,47.2331
1957,27000,46.2863
2036,28000,39.4228
2113,29000,42.8737
2183,30000,48.5729
2254,31000,48.0988
2324,32000,45.8345
2387,33000,54.9607
2456,34000,49.7783
2536,35000,40.3911
2608,36000,47.4286
2675,37000,49.2943
2743,38000,49.8592
2812,39000,45.3077
2885,40000,45.9634
2951,41000,46.1706
3021,42000,40.0646
3087,43000,43.1956
3150,44000,46.1371
3231,45000,38.7012
3312,46000,36.7829
3394,47000,39.174
3472,48000,41.4046
3546,49000,44.0639
3622,50000,43.8476
3695,51000,45.624
3787,52000,34.473
3859,53000,45.3474
3941,54000,39.6203
4017,55000,40.5747
4090,56000,44.2968
4155,57000,52.5108
4230,58000,42.7392
4310,59000,41.1868
4394,60000,36.3613
4472,61000,41.6188
4557,62000,34.8818
4639,63000,36.0583
4721,64000,37.5786
4793,65000,41.2355
