episode,timestep,reward
48,1000,44.7562
94,2000,50.9703
143,3000,44.908
189,4000,52.593
240,5000,47.5012
285,6000,49.9131
323,7000,71.3678
361,8000,67.4792
407,9000,44.2301
447,10000,60.0062
490,11000,54.1607
533,12000,53.4728
576,13000,55.601
615,14000,57.7791
658,15000,50.0307
690,16000,79.3908
725,17000,59.0421
770,18000,52.3641
809,19000,52.9801
848,20000,62.5049
886,21000,57.5102
920,22000,67.4716
961,23000,53.7175
989,24000,82.2591
1024,25000,65.5071
1062,26000,57.3851
1098,27000,58.4478
1138,28000,62.272
1186,29000,45.3125
1233,30000,46.2688
1274,31000,54.1305
1320,32000,54.6727
1372,33000,42.8016
1413,34000,57.9346
1460,35000,48.5411
1504,36000,48.0508
1548,37000,52.7363
1593,38000,53.7473
1639,39000,47.8377
1683,40000,54.726
1726,41000,52.3444
1775,42000,46.1924
1823,43000,45.616
1870,44000,47.427
1921,45000,44.3972
1963,46000,53.8176
2012,47000,46.1401
2056,48000,54.1607
2105,49000,41.8338
2149,50000,53.7634
2193,51000,53.8329
2246,52000,40.8011
2295,53000,49.4483
2337,54000,54.5489
2383,55000,49.1912
2430,56000,43.0833
