episode,timestep,reward
49,1000,6.7984
95,2000,8.1655
162,3000,6.5764
216,4000,6.9886
268,5000,9.3135
321,6000,8.3654
370,7000,7.0474
419,8000,5.3855
472,9000,9.9786
513,10000,4.8737
559,11000,9.3828
606,12000,5.8907
655,13000,7.3785
702,14000,9.257
747,15000,9.5692
797,16000,6.7892
844,17000,6.6513
886,18000,12.4833
935,19000,7.3222
975,20000,12.7326
1021,21000,8.9732
1067,22000,8.7136
1105,23000,9.1784
1148,24000,11.0094
1193,25000,6.7656
1243,26000,12.2064
1292,27000,4.6822
1338,28000,13.0743
1381,29000,10.1649
1426,30000,10.2565
1468,31000,7.3369
1510,32000,8.785
1550,33000,9.6173
1595,34000,10.3926
1635,35000,12.3536
1675,36000,11.6468
1718,37000,7.9706
1761,38000,11.7759
1803,39000,11.209
1851,40000,6.7197
1898,41000,10.0685
1932,42000,15.2396
1977,43000,10.0059
2018,44000,14.3344
2059,45000,4.1258
2101,46000,13.8516
2148,47000,6.9312
2188,48000,8.641
2239,49000,10.9668
2278,50000,15.617
2321,51000,9.5557
2365,52000,6.461
2410,53000,12.364
2448,54000,5.6642
2488,55000,15.2894
2528,56000,10.9436
2573,57000,8.234
2625,58000,8.8283
2669,59000,9.695
2712,60000,10.8171
2759,61000,9.884
2803,62000,9.9306
2844,63000,9.6267
2901,64000,8.8973
2940,65000,8.6968
2981,66000,12.0109
3031,67000,9.1039
3075,68000,10.3282
3121,69000,7.0066
3171,70000,9.6625
3217,71000,5.4111
3257,72000,6.6284
3304,73000,6.7356
3342,74000,15.2415
3384,75000,9.0956
3430,76000,8.1482
3476,77000,13.5198
3520,78000,10.183
3571,79000,7.4498
3609,80000,14.9757
3654,81000,8.4387
3707,82000,8.5051
3752,83000,8.732
3795,84000,6.2367
3843,85000,10.3606
3890,86000,12.6117
3935,87000,10.4312
3979,88000,10.8303
4023,89000,4.3536
4061,90000,13.057
4096,91000,11.7916
4136,92000,6.5361
4182,93000,11.1249
4226,94000,10.1458
4273,95000,11.8973
4315,96000,6.5229
4363,97000,10.5105
4406,98000,10.1853
4444,99000,9.6578
4481,100000,11.1417
4518,101000,9.3038
4561,102000,13.4712
4605,103000,11.8108
4648,104000,10.0582
4692,105000,11.6248
4742,106000,10.4126
4784,107000,10.9575
4832,108000,8.7688
4874,109000,9.8953
4918,110000,13.2833
4958,111000,16.6693
5007,112000,7.8133
5045,113000,10.1136
5085,114000,11.5782
5125,115000,7.6823
5167,116000,7.9246
5216,117000,9.0433
5254,118000,15.9738
5296,119000,13.1362
5344,120000,9.9952
5389,121000,6.2766
5430,122000,14.2684
5471,123000,11.7737
5514,124000,11.8295
5554,125000,12.5141
5600,126000,12.8504
5639,127000,7.7416
5692,128000,12.0758
5745,129000,10.0395
5789,130000,10.0449
5838,131000,11.5438
5885,132000,7.0243
5925,133000,4.3364
5963,134000,12.739
6008,135000,10.9393
6051,136000,6.8613
6096,137000,13.2652
6141,138000,8.1574
6181,139000,12.708
6224,140000,8.0473
6266,141000,7.9908
6308,142000,8.7952
6346,143000,6.7317
6392,144000,12.4727
6431,145000,8.439
6475,146000,12.4737
6520,147000,7.107
6559,148000,14.0991
6602,149000,8.9188
6650,150000,11.6161
6699,151000,9.6612
6740,152000,12.3215
6782,153000,9.2236
6829,154000,7.8398
6870,155000,9.8481
6912,156000,14.2525
6951,157000,5.1666
6991,158000,18.0772
7037,159000,7.5101
7086,160000,11.6923
7128,161000,9.3617
7168,162000,12.3444
7212,163000,8.078
