episode,timestep,reward
999,1000,0.0
1999,2000,0.0
2897,3000,0.2544
3893,4000,0.012
4776,5000,0.2406
5774,6000,0.005
6769,7000,0.0167
7766,8000,0.0081
8527,9000,0.0672
9140,10000,1.5028
9451,11000,2.7577
9819,12000,2.6288
10339,13000,1.9749
10858,14000,1.7268
11639,15000,1.4
12183,16000,0.4147
13023,17000,1.1029
14018,18000,0.0165
14890,19000,0.3032
15390,20000,1.862
15890,21000,1.8223
16380,22000,2.3586
16940,23000,0.006
17402,24000,2.5217
18032,25000,1.9805
18915,26000,0.2255
19587,27000,0.0233
20262,28000,1.5698
20352,29000,10.886
21090,30000,2.0102
21585,31000,1.9127
22361,32000,0.6592
23312,33000,0.05
23671,34000,2.6682
24511,35000,0.5154
