episode,timestep,reward
86,1000,34.566
159,2000,43.6346
237,3000,43.6317
306,4000,52.0043
383,5000,42.7841
458,6000,43.1268
530,7000,42.7506
593,8000,48.6501
676,9000,39.0577
744,10000,51.1568
814,11000,48.2948
895,12000,39.9273
975,13000,42.5204
1045,14000,46.4252
1115,15000,45.3995
1196,16000,39.187
1263,17000,47.3245
1329,18000,47.8322
1398,19000,43.7734
1461,20000,49.2194
1537,21000,43.375
1588,22000,59.7728
1659,23000,41.0825
1727,24000,42.8139
1804,25000,36.9607
1875,26000,40.7097
1943,27000,44.7538
2026,28000,33.8465
2095,29000,44.7384
2167,30000,45.0909
2230,31000,45.8887
2285,32000,52.9383
2371,33000,34.8407
2441,34000,41.0644
2507,35000,44.7613
2588,36000,36.6857
2663,37000,40.4764
