episode,timestep,reward
53,1000,40.3814
104,2000,42.8425
166,3000,36.9521
218,4000,41.9383
269,5000,46.6551
323,6000,41.1837
370,7000,45.172
423,8000,43.6257
473,9000,45.4248
521,10000,43.2012
573,11000,43.1271
618,12000,51.3067
671,13000,42.4042
717,14000,51.3792
767,15000,45.6669
820,16000,44.8139
867,17000,49.5189
912,18000,50.7708
958,19000,49.6385
1013,20000,42.2421
1057,21000,50.8385
1104,22000,48.8418
1151,23000,46.8998
1193,24000,54.0436
1237,25000,46.9217
1291,26000,39.8738
1342,27000,47.8781
1386,28000,51.2821
1429,29000,47.9073
1475,30000,48.9939
1528,31000,44.4569
