episode,timestep,reward
35,1000,67.3939
66,2000,69.9322
100,3000,88.4437
135,4000,77.1362
173,5000,77.3638
210,6000,69.3942
246,7000,74.6748
280,8000,73.5013
313,9000,79.7141
348,10000,72.8902
388,11000,57.3572
421,12000,76.2788
456,13000,67.2222
490,14000,71.3777
526,15000,73.6987
563,16000,69.9798
595,17000,90.4269
632,18000,80.2432
656,19000,108.4546
683,20000,89.8699
708,21000,103.3697
731,22000,105.7916
757,23000,103.6523
787,24000,78.3611
825,25000,74.1762
860,26000,73.228
889,27000,85.519
916,28000,89.204
943,29000,84.8321
970,30000,100.8244
996,31000,87.6115
1022,32000,100.4622
1061,33000,56.4801
1097,34000,60.5148
1140,35000,53.6988
1181,36000,59.6039
1223,37000,59.5526
1268,38000,48.764
1306,39000,62.081
1346,40000,54.1017
1369,41000,96.5913
1394,42000,102.7989
1419,43000,89.9496
1443,44000,112.0548
1469,45000,93.6576
1500,46000,80.0732
1529,47000,83.5506
1556,48000,91.2357
1589,49000,70.2268
1619,50000,82.4831
1648,51000,80.0866
1676,52000,87.0617
1707,53000,79.068
1736,54000,85.3768
1767,55000,78.8748
1797,56000,80.5612
1827,57000,68.4745
1852,58000,92.0056
1881,59000,86.1016
1908,60000,102.0334
1938,61000,73.3452
1963,62000,94.9794
1995,63000,85.0557
2025,64000,72.1758
2054,65000,88.2775
2080,66000,79.6952
2107,67000,85.8278
2133,68000,82.8669
2161,69000,84.1548
2188,70000,80.0029
2215,71000,86.674
2244,72000,93.6221
2272,73000,87.3008
2300,74000,88.4304
2330,75000,81.0755
2361,76000,66.7152
2385,77000,83.7822
2408,78000,105.8822
2439,79000,76.5411
2468,80000,84.2959
2495,81000,87.276
2526,82000,78.2569
2554,83000,89.9744
2580,84000,74.4497
2610,85000,82.3313
2644,86000,78.2125
2673,87000,80.725
2704,88000,67.0341
2736,89000,76.1853
2767,90000,62.7346
