episode,timestep,reward
48,1000,16.9315
190,2000,13.2343
293,3000,10.209
426,4000,11.5492
463,5000,32.7625
557,6000,23.2287
615,7000,17.1181
646,8000,59.092
690,9000,43.1677
722,10000,54.2684
836,11000,10.477
875,12000,43.4553
941,13000,14.8606
1003,14000,25.6902
1133,15000,15.0912
1199,16000,20.6967
1248,17000,43.9092
1313,18000,22.7351
1352,19000,16.519
1465,20000,14.4688
1547,21000,11.9362
1634,22000,19.0477
1815,23000,8.1505
1876,24000,21.2408
1923,25000,31.8794
1989,26000,14.2309
2043,27000,12.2525
2063,28000,71.1917
2132,29000,21.9939
2237,30000,15.3906
2365,31000,9.6677
2389,32000,73.4259
2430,33000,17.5963
2475,34000,34.21
2527,35000,30.5227
2574,36000,49.3122
2585,37000,136.1756
2645,38000,19.5843
2696,39000,48.2874
2783,40000,15.5664
2805,41000,67.2399
2839,42000,30.3804
2892,43000,34.6397
2991,44000,10.616
