episode,timestep,reward
3,2000,1001.242
7,4000,1098.8917
11,6000,908.5813
15,8000,841.0907
19,10000,854.7279
23,12000,557.0415
27,14000,897.1074
31,16000,896.7746
35,18000,961.0197
39,20000,893.989
43,22000,913.5434
47,24000,654.7723
51,26000,532.6881
55,28000,679.3986
59,30000,888.887
63,32000,673.0864
67,34000,666.1452
71,36000,480.1612
75,38000,357.2776
79,40000,631.3306
83,42000,452.0452
87,44000,410.8462
91,46000,603.5315
95,48000,699.6338
99,50000,803.1239
103,52000,635.6105
107,54000,772.2064
111,56000,536.2706
115,58000,531.5484
119,60000,564.0035
123,62000,681.9111
127,64000,493.3845
131,66000,323.5403
135,68000,278.5745
139,70000,206.5447
143,72000,730.4888
147,74000,347.416
151,76000,546.2251
155,78000,279.4387
159,80000,355.5881
163,82000,371.3654
167,84000,529.4569
171,86000,634.0535
175,88000,1020.0403
179,90000,557.8588
183,92000,445.1143
187,94000,531.0867
191,96000,555.0299
195,98000,516.5093
199,100000,510.105
203,102000,393.9178
207,104000,452.7246
211,106000,451.3914
215,108000,598.3108
219,110000,592.5875
223,112000,575.5448
227,114000,637.1177
231,116000,524.6821
235,118000,444.9845
239,120000,546.85
243,122000,661.8654
247,124000,347.5587
251,126000,515.9791
255,128000,491.3635
259,130000,395.8549
263,132000,750.0592
267,134000,704.1259
271,136000,358.598
275,138000,459.5056
279,140000,397.0638
283,142000,571.0817
287,144000,560.9797
291,146000,814.6015
295,148000,451.8582
299,150000,709.658
303,152000,386.3735
307,154000,540.3074
311,156000,200.5585
315,158000,392.4534
319,160000,586.5413
323,162000,531.4448
327,164000,394.1213
331,166000,516.5258
335,168000,466.7618
339,170000,679.502
343,172000,452.4403
