episode,timestep,reward
31,1000,66.9735
71,2000,51.0878
120,3000,40.8189
167,4000,38.8184
212,5000,43.6715
257,6000,41.2032
305,7000,40.5966
352,8000,41.3838
396,9000,43.5091
439,10000,49.6674
483,11000,48.988
525,12000,55.2097
568,13000,48.3067
610,14000,51.8823
654,15000,44.3032
695,16000,52.4907
738,17000,46.1481
781,18000,53.369
820,19000,52.7088
861,20000,58.2278
904,21000,47.9164
945,22000,57.7258
989,23000,47.3231
1031,24000,50.3287
1072,25000,50.8201
1109,26000,55.7824
1140,27000,69.1196
1164,28000,92.1005
1191,29000,83.8905
1217,30000,82.4845
1244,31000,78.3524
1275,32000,65.7666
1302,33000,71.2361
1339,34000,57.2694
1379,35000,52.6753
1418,36000,53.5386
1453,37000,58.5579
1485,38000,60.5328
1516,39000,61.2318
1547,40000,65.6377
1584,41000,60.1639
1614,42000,71.8676
1652,43000,53.7638
1683,44000,69.5489
1715,45000,56.1422
1748,46000,69.4318
1778,47000,76.5372
1807,48000,76.608
1847,49000,49.2948
1887,50000,49.322
1924,51000,61.8446
1961,52000,61.9513
2001,53000,59.6826
2043,54000,48.346
2083,55000,55.969
2124,56000,51.3209
2166,57000,51.0443
2202,58000,60.3392
2241,59000,54.0062
2277,60000,62.8824
2318,61000,54.5758
2356,62000,59.0434
2396,63000,50.1906
2435,64000,62.3844
2470,65000,65.5754
2510,66000,53.3059
2550,67000,55.201
2588,68000,52.121
2627,69000,56.3554
2664,70000,56.6132
2704,71000,56.261
2744,72000,54.4061
2784,73000,53.999
2824,74000,54.7365
2866,75000,50.7151
2905,76000,52.2056
2951,77000,46.8553
2988,78000,58.9958
3025,79000,58.765
3065,80000,53.275
3103,81000,55.6471
3141,82000,55.842
3182,83000,54.2039
3219,84000,57.6216
3256,85000,55.1524
3293,86000,62.0396
3333,87000,55.9047
3371,88000,58.3531
3413,89000,49.5886
3454,90000,52.8961
3492,91000,54.6451
3534,92000,49.5703
3577,93000,46.2836
3614,94000,55.4876
3655,95000,44.8318
3692,96000,62.6493
3723,97000,68.4572
3753,98000,74.7644
3776,99000,98.159
3800,100000,82.9946
3827,101000,81.3895
3855,102000,77.8676
3882,103000,77.2922
3911,104000,74.672
3944,105000,63.4386
3980,106000,60.5778
4016,107000,65.5515
4050,108000,60.9132
4085,109000,63.9761
4118,110000,69.2386
4149,111000,71.4873
4179,112000,72.4391
4211,113000,62.1614
4245,114000,63.9178
4279,115000,60.6916
4307,116000,71.8058
4343,117000,60.7299
4374,118000,60.0173
4414,119000,50.956
4448,120000,63.2053
4485,121000,54.5747
4527,122000,48.5686
4565,123000,54.4498
4602,124000,54.4145
4643,125000,53.1637
4675,126000,63.0614
4709,127000,66.761
4745,128000,59.1142
4772,129000,76.144
4800,130000,73.907
4831,131000,63.8161
4861,132000,67.1296
4889,133000,72.3423
4923,134000,64.6567
4957,135000,63.5546
4989,136000,63.5453
5022,137000,64.0199
5060,138000,51.1264
5091,139000,69.7232
5125,140000,58.483
5152,141000,78.1316
5182,142000,71.772
5217,143000,67.9369
5249,144000,66.2227
5281,145000,64.8619
5308,146000,81.6671
5337,147000,70.139
5367,148000,70.5985
5397,149000,71.2971
5427,150000,74.4643
5457,151000,65.2593
5490,152000,62.3572
5522,153000,65.7406
5556,154000,61.0146
5595,155000,57.2889
5636,156000,43.4399
5680,157000,45.8943
5720,158000,46.7503
5765,159000,43.1408
5812,160000,37.2442
5856,161000,45.1564
5897,162000,45.4891
5935,163000,48.5101
5978,164000,49.5194
6021,165000,45.2024
6057,166000,59.6766
6099,167000,45.88
6143,168000,41.2855
6184,169000,48.7339
6222,170000,51.7871
6268,171000,40.0058
6308,172000,46.6997
6350,173000,45.2034
6394,174000,40.0825
6434,175000,49.3586
6478,176000,41.2974
6524,177000,35.9656
6565,178000,52.2387
6606,179000,46.2257
6651,180000,42.5645
6688,181000,56.8081
6736,182000,37.9602
6779,183000,43.5324
6819,184000,48.3258
6856,185000,56.9669
6898,186000,46.6771
6941,187000,42.5786
6981,188000,55.1805
7024,189000,44.9659
7068,190000,43.5824
7110,191000,49.1914
7153,192000,42.8236
7197,193000,43.4063
7243,194000,39.7106
7287,195000,48.4218
7328,196000,47.3826
7368,197000,49.6332
7411,198000,46.2117
7456,199000,44.93
7498,200000,48.8178
7540,201000,48.4441
7580,202000,50.1228
7621,203000,50.0565
7661,204000,46.1397
7700,205000,50.6534
7742,206000,47.6089
7783,207000,48.6358
7827,208000,45.6209
7870,209000,47.3958
7914,210000,42.5995
7956,211000,46.5318
7998,212000,43.8916
8043,213000,38.9291
8086,214000,45.3804
8127,215000,45.406
8168,216000,44.7339
8210,217000,45.6519
8247,218000,55.329
8286,219000,48.1298
8330,220000,42.5714
8371,221000,49.8343
