episode,timestep,reward
31,1000,58.2849
65,2000,49.8268
101,3000,45.5735
140,4000,43.1636
174,5000,51.6027
207,6000,50.2497
240,7000,52.4324
274,8000,49.1019
307,9000,52.4802
340,10000,51.8016
382,11000,41.8719
419,12000,47.5114
452,13000,54.3364
488,14000,47.3914
523,15000,43.9656
558,16000,48.6159
591,17000,50.444
619,18000,60.8719
652,19000,49.5232
686,20000,49.2604
724,21000,47.6582
760,22000,48.6686
798,23000,47.6239
832,24000,50.8602
862,25000,56.7746
897,26000,51.5645
929,27000,52.9852
965,28000,55.33
996,29000,56.7472
1030,30000,48.8473
1064,31000,58.8368
1096,32000,52.7009
1127,33000,49.5531
1163,34000,53.4977
1197,35000,54.7088
1229,36000,52.2858
1264,37000,53.9858
1297,38000,50.8235
1332,39000,49.321
1367,40000,44.057
1403,41000,52.0654
1437,42000,55.805
1471,43000,51.5412
1503,44000,53.2732
1536,45000,50.0092
1568,46000,51.9742
1597,47000,57.2669
1628,48000,60.7793
1657,49000,57.2885
1687,50000,63.2582
1723,51000,47.2545
1757,52000,50.2422
1789,53000,55.9712
1819,54000,58.7658
1849,55000,59.2074
1880,56000,58.2949
1918,57000,42.9783
1950,58000,53.8116
1981,59000,55.9867
2013,60000,56.4617
2048,61000,48.6935
2083,62000,50.0117
2117,63000,51.7735
2152,64000,46.5133
