episode,timestep,reward
78,1000,36.1346
154,2000,39.5182
228,3000,45.2701
309,4000,38.3326
387,5000,41.4934
459,6000,45.1461
520,7000,54.3488
584,8000,51.6261
660,9000,41.1827
740,10000,38.3128
806,11000,48.3333
879,12000,49.8435
955,13000,37.4955
1018,14000,48.7795
1094,15000,39.2586
1168,16000,40.105
1246,17000,36.133
1322,18000,41.5971
1401,19000,38.9329
1486,20000,34.9757
1569,21000,35.2768
1656,22000,34.6335
1731,23000,43.5558
1800,24000,47.2741
1875,25000,40.0012
1944,26000,41.8704
2016,27000,39.4867
2088,28000,43.505
2163,29000,42.3678
2243,30000,39.3633
2321,31000,40.1049
2393,32000,45.1992
2468,33000,45.2308
2554,34000,36.1772
2633,35000,42.8596
2711,36000,39.3732
2787,37000,45.3586
2868,38000,36.6477
2944,39000,40.16
3022,40000,40.0501
