episode,timestep,reward
36,800,22.0556
75,1600,20.4103
116,2400,19.3659
149,3200,23.5152
174,4000,33.28
197,4800,34.7391
211,5600,52.1429
231,6400,41.85
238,7200,118.4286
244,8000,116.0
250,8800,150.8333
257,9600,102.4286
261,10400,174.25
269,11200,120.25
275,12000,130.6667
281,12800,117.0
289,13600,117.0
294,14400,159.8
297,15200,203.6667
302,16000,191.8
305,16800,221.6667
308,17600,303.6667
312,18400,191.75
316,19200,184.0
319,20000,242.0
323,20800,244.25
326,21600,268.0
328,22400,326.0
330,23200,315.0
333,24000,312.3333
336,24800,284.0
339,25600,290.0
341,26400,355.5
344,27200,320.6667
347,28000,233.6667
349,28800,355.5
352,29600,281.3333
354,30400,346.5
356,31200,400.0
359,32000,354.0
361,32800,234.5
363,33600,400.0
366,34400,382.0
368,35200,361.0
370,36000,400.0
372,36800,400.0
374,37600,372.5
377,38400,304.3333
379,39200,372.5
381,40000,343.0
383,40800,384.0
385,41600,400.0
387,42400,400.0
389,43200,400.0
391,44000,378.5
394,44800,329.3333
398,45600,201.0
400,46400,320.5
402,47200,387.5
405,48000,345.3333
