episode,timestep,reward
46,1000,3.4783
85,2000,10.5128
126,3000,12.3171
165,4000,2.2564
206,5000,17.1707
244,6000,23.0263
280,7000,28.1667
315,8000,25.6571
342,9000,33.5926
375,10000,29.2121
402,11000,32.2593
428,12000,40.8462
452,13000,32.875
476,14000,29.375
500,15000,41.5417
525,16000,26.4
546,17000,38.2857
566,18000,33.45
593,19000,39.5556
617,20000,41.2917
641,21000,32.5417
665,22000,42.375
686,23000,37.619
707,24000,43.0952
729,25000,40.9091
750,26000,41.8571
768,27000,49.5556
790,28000,46.5455
809,29000,46.3158
828,30000,43.6316
845,31000,50.7647
866,32000,42.7143
887,33000,43.4286
905,34000,48.6111
925,35000,50.95
945,36000,50.85
964,37000,47.3684
982,38000,48.7778
1002,39000,49.0
1023,40000,50.0
1044,41000,45.8095
1062,42000,56.5
1079,43000,32.7647
1098,44000,43.1053
1116,45000,49.3889
1134,46000,44.8889
1155,47000,43.0952
1174,48000,47.5789
1194,49000,45.7
1213,50000,52.6842
1234,51000,43.4286
1256,52000,45.0455
1273,53000,56.4118
1292,54000,55.2632
1306,55000,53.0714
1323,56000,59.1176
1341,57000,55.9444
1357,58000,54.0625
1374,59000,63.0
1394,60000,43.15
1411,61000,54.2941
1429,62000,56.5556
1447,63000,51.8333
1464,64000,61.9412
1479,65000,45.1333
1495,66000,58.3125
1513,67000,48.4444
1531,68000,51.3889
1549,69000,54.7222
1566,70000,59.4706
1581,71000,66.6
1597,72000,59.875
1612,73000,41.5333
1627,74000,46.5333
1641,75000,72.7143
1654,76000,57.2308
1674,77000,40.9
1690,78000,64.3125
1706,79000,55.8125
1724,80000,62.0
1741,81000,56.7647
1756,82000,68.9333
1773,83000,26.5882
1790,84000,59.1765
1805,85000,68.4
1821,86000,61.3125
1838,87000,42.5882
1850,88000,57.25
1866,89000,48.4375
1882,90000,60.4375
1898,91000,51.6875
1916,92000,56.4444
1931,93000,56.8
1950,94000,51.1053
1968,95000,54.8889
1985,96000,58.0588
2001,97000,61.875
2017,98000,56.9375
2033,99000,61.75
2047,100000,71.0714
